strategy,category,description,cagr_pct,ann_volatility_pct,sharpe,max_drawdown_pct,calmar,end_$,switches,switch_cost_total,trading_costs,rebalance_count,pct_days_spx,pct_days_ndx,pct_days_cash,beats_ndx_cagr,beats_ndx_sharpe,beats_ndx_calmar,beats_ndx_max_dd,beats_ndx_cagr_and_max_dd
RS > SMA20 + hysteresis 10d,relative_strength,RS pick; switch after 10 consecutive days,45.32,37.76,1.18,-49.26,0.92,7390914.65,147,1084314.3796779455,10105219.455150682,882,39.53365129835718,60.46634870164282,0.0,False,False,False,False,False
NDX unless Guarded NDX cash & SPX invested,guarded_overlay,Stay on Nasdaq unless flat there but S&P Guarded wants exposure,52.16,44.45,1.167,-66.79,0.781,29407498.7,536,8182266.187523419,44106675.23026903,934,6.928987811340752,93.07101218865925,0.0,False,False,False,False,False
Guarded regime picker,guarded_overlay,"Invested side(s) by Guarded; if both, higher tier then 6m return",44.32,41.36,1.094,-70.38,0.63,6011618.0,1042,7667858.671649757,10054389.05140521,701,19.634340222575517,55.97509273979862,24.39056703762586,False,False,False,False,False
RS > SMA50 + hysteresis 5d,relative_strength,RS pick; switch after 5 consecutive days,39.95,37.87,1.078,-40.86,0.978,2389871.05,173,439901.5897182884,3451156.1143699917,889,38.76523582405935,61.23476417594065,0.0,False,False,False,False,False
Momentum spread 6m,momentum,Higher 6m total return; cash if both negative,31.99,30.96,1.052,-65.43,0.489,412726.82,372,298362.87612924783,1179053.0333306429,780,19.0646528881823,60.691573926868045,20.243773184949656,False,False,False,False,False
RS > SMA20 + SMA20 filter,combo,RS pick only if chosen index above its SMA20 else cash,36.14,39.04,0.985,-43.38,0.833,1044123.38,1273,3220883.9376848037,4655066.056487512,900,21.13142554319025,47.91997880233174,30.94859565447801,False,False,False,False,False
RS NDX/SPX > SMA50,relative_strength,Hold stronger relative index by 50d ratio trend,34.17,39.12,0.947,-39.16,0.873,675062.87,551,551308.883423933,2010584.6270733094,1071,39.79862215156333,60.20137784843667,0.0,False,False,False,False,False
Combo RS50 + regime agree else regime,combo,RS50 when agrees with regime pick else follow regime,36.15,41.92,0.946,-74.3,0.487,1046989.17,686,969498.8193627798,2455069.416184284,933,35.91679915209327,64.08320084790672,0.0,False,False,False,False,False
RS > SMA20 + hysteresis 5d,relative_strength,RS pick; switch after 5 consecutive days,27.46,39.56,0.812,-51.12,0.537,144904.63,285,62859.022472639124,354653.4066779775,970,42.68680445151033,57.31319554848967,0.0,False,False,False,False,False
Momentum spread 3m,momentum,Higher 3m total return; cash if both negative,20.49,31.37,0.751,-53.14,0.386,26779.56,550,54717.83743261123,174364.28796476556,797,19.0646528881823,55.869104398516164,25.066242713301538,False,False,False,False,False
Guarded regime + hysteresis 5d,guarded_overlay,Regime picker with 5d switch confirmation,22.44,36.07,0.742,-64.75,0.347,43424.57,223,16554.98325365956,96788.13591362404,674,16.60042395336513,59.69793322734499,23.701642819289876,False,False,False,False,False
RS NDX/SPX > SMA20,relative_strength,Hold stronger relative index by 20d ratio trend,20.63,41.67,0.658,-78.2,0.264,27776.37,895,141608.20398020511,433282.9454267227,1213,43.3359830418654,56.6640169581346,0.0,False,False,False,False,False
